number,question,option_1,option_2,option_3,option_4,option_5,option_6,correct_answers,explanation,reference_url,source_file,test_number
41,"Snowflake provides two mechanisms to reduce data storage costs for short-lived tables. These mechanisms are: (Choose two.)",Materialized views,Transient Tables,Provisional Tables,Temporary Tables,Permanent Tables,,"2, 4",,,Test 3,3
42,Which of these commands require a running warehouse?,SELECT MAX(AGE)FROM USERS_TABLE;,SELECT COUNT(*)FROM USERS_TABLE;EXPLAIN USING TABULAR,SELECT *FROM USERS_TABLEWHERE email=’test@test.com’;,SELECT COUNT(*) FROM USERS_TABLE,,,3,"Out of the provided options, only one command requires a running warehouse:",,Test 3,3
43,How is table data compressed in Snowflake?,"The text data in a micro-partition is compressed with GZIP but other types are not compressed.",Each column is compressed as it is stored in a micro-partition.,"The micro-partitions are stored in compressed cloud storage and the cloud storage handles compression.","Each micro-partition is compressed as it is written into cloud storage using GZIP.",,,2,"Snowflake automatically determines the most efficient compression algorithm for the columns in each micro-partition.",,Test 3,3
44,What should be the first option to restore data into a table?,Time-Travel.,Zero-Copy Cloning.,Fail-Safe.,Ask Snowflake Support,,,1,"Time-Travel enables accessing historical data (i.e., data that has been changed or deleted) at any point within a defined period. If we drop a table, we can restore it with time travel. You can use it with Databases, Schemas & Tables. The following diagram explains how Time-Travel works:",,Test 3,3
45,"What property from the Resource Monitors lets you specify whether you want to control the credit usage of your entire account or a specific set of warehouses?",Credit Quota.,Schedule.,Notification.,Monitor Level.,,,4,"The monitor level is a property that specifies whether the resource monitor is used to monitor the credit usage for your entire account or individual warehouses.",,Test 3,3
46,How many children tasks can a task have?,1000,10,1,100,,,4,"Snowflake tasks are schedulable scripts that are run inside your Snowflake environment. Users can define a simple tree-like structure of tasks that starts with a root task and is linked together by task dependencies. The children‘s tasks only run after the parent‘s task finishes. A single task can have a maximum of 100 predecessor tasks and 100 child tasks.",,Test 3,3
47,"While loading data through the COPY command, you can transform the data.Which of the below transformations is not allowed?",Omit columns.,Cast.,Truncate columns.,Filters.,Reorder columns.,,4,"Filtersis the transformation that is not allowed during the COPY command.",,Test 3,3
48,"A developer is granted ownership of a table that has a masking policy. The developer’s role is not able to see the masked data.Will the developer be able to modify the table to read the masked data?","Yes, because a table owner has full control and can unset masking policies.","Yes, because masking policies only apply to cloned tables.","No, because masking policies must always reference specific access roles.","No, because ownership of a table does not include the ability to change masking policies.",,,4,"Object owners (i.e. the role that has the OWNERSHIP privilege on the object) do not have the privilege to unset masking policies.Object owners cannot view column data in which a masking policy applies.",,Test 3,3
49,Which of the following is not a valid context functions in Snowflake?,SELECT CURRENT_PROVIDER(),SELECT CURRENT_CLIENT(),SELECT CURRENT_ACCOUNT(),SELECT CURRENT_IP_ADDRESS(),,,1,The answer is:SELECT CURRENT_PROVIDER(),,Test 3,3
50,Which loop type iterates until a condition is true?,REPEAT,WHILE,LOOP,FOR,,,1,"A REPEAT loop iterates until a condition is true. In a REPEAT loop, the condition is tested immediately after executing the body of the loop. As a result, the body of the loop always executes at least once.A WHILE loop iterates while a condition is true. In a WHILE loop, the condition is tested immediately before executing the body of the loop. If the condition is false before the first iteration, then the body of the loop does not execute even once.",,Test 3,3
51,Which Snowflake edition (and above) allows until 90 days of Time Travel?,Business Critical.,Enterprise.,Standard.,Virtual Private Snowflake,,,2,"By default, Time travel is enabled with a 1-day retention period. However, we can increase it to 90 days if we have (at least) the Snowflake Enterprise Edition. It requires additional storage, which will be reflected in your monthly storage charges.",,Test 3,3
52,"You have two virtual warehouses in your Snowflake account. If one of them updates the data in the storage layer, when will the other one see it?","Once all the compute resources are provisioned for the second warehouse.",After an average time of 5 seconds.,Immediately.,After the sync process.,,,3,"All the warehouses of your account share the storage layer, so if the data is updated, all the warehouses will be able to see it. You can see this behavior in the following image:",,Test 3,3
53,"During periods of warehouse contention, which parameter controls the maximum length of time a warehouse will hold a query for processing?",STATEMENT_TIMEOUT_IN_SECONDS,STATEMENT_QUEUED_TIMEOUT_IN_SECONDS,MAX_CONCURRENCY_LEVEL,QUERY_TIMEOUT_IN_SECONDS,,,2,"STATEMENT_QUEUED_TIMEOUT_IN_SECONDSAmount of time, in seconds, a SQL statement (query, DDL, DML, etc.) remains queued for a warehouse before it is canceled by the system.",,Test 3,3
54,"A Snowflake user wants to share data using my_share with account xy12345.Which command should be used?",grant select on share my_share to account xy12345;,grant usage on share my_share to account xy12345;,alter account xy12345 add share my_share;,alter share my_share add accounts = xy12345;,,,4,"ALTER SHARE [ IF EXISTS ]{ ADD | REMOVE } ACCOUNTS =[ ,, … ] [ SHARE_RESTRICTIONS = { TRUE | FALSE } ]ALTER SHARE [ IFALTER     SHARE [ IF EXISTS ]SET { [ ACCOUNTS =[ ,… ] ]",,Test 3,3
55,What are the types of data consumer accounts available in Snowflake? (Choose two.),Public Account,Shared Account,Reader Account,Subscriber account,Full Account,,"3, 5","There are two types of data consumers. The first one is the Full Accounts, the consumers with existing Snowflake accounts. In this case, the consumer account pays for the queries they make. We also have the Reader Accounts, the consumers without Snowflake accounts. In this last case, the producer account pays all the compute credits that their warehouses use. You can see this behavior in the following diagram:",,Test 3,3
56,What is the minimum Snowflake edition that you need for the Data Sharing capability?,Virtual Private Snowflake,Standard,Enterprise,Business Critical,,,2,The minimum Snowflake edition required for the Data Sharing capability isStandard.,,Test 3,3
57,Which certifications are compliant with Snowflake? (Choose three.),FedRAMP.,PCI-DSS.,ISO 9000.,SC-900.,HIPAA.,,"1, 2, 5","When considering Snowflake’s compliance, it’s essential to distinguish between Snowflake’s own compliance certifications and Snowflake’s certification programs for individuals. Here’s a breakdown:",,Test 3,3
58,Which function returns the name of the warehouse of the current session?,RUNNING_WAREHOUSE(),WAREHOUSE(),CURRENT_WAREHOUSE(),ACTIVE_WAREHOUSE(),,,3,"I’m not a big fan of learning commands by heart, and they are unlikely to appear on the exam, but this one may be useful. You have other commands to show the current database and schema, as you can see by executing the following command:SELECT CURRENT_WAREHOUSE(), CURRENT_DATABASE(), CURRENT_SCHEMA();",,Test 3,3
59,"What technique does Snowflake use to limit the number of micro-partitions retrieved as part of a query?",Indexing.,Pruning.,Computing.,Clustering.,,,2,"Query pruning consists of analyzing the smallest number of micro-partitions to solve a query. This technique retrieves all the necessary data to give a solution without looking at all the micro-partitions, saving a lot of time to return for the result.",,Test 3,3
60,"A medium (M) warehouse has auto-suspend configured after 15 minutes. You have noticed that all of the queries that run on this warehouse finish within a minute. What will you do to optimize compute costs?",Delete the warehouse after a minute.,Disable the auto-suspend option.,Use another data-warehouse.,Reduce the auto-suspend time to 1 minute.,,,4,"By reducing the minutes of the “auto-suspend“ option, the warehouse will automatically go to sleep after 60 seconds of inactivity, significantly reducing credit consumption.",,Test 3,3
1,What is the default compression of the output files generated by Snowflake when unloading data,brotli,gzip,Zstandard,bzip2,,,2,"By default, all unloaded data files are compressed using gzip, unless compression is explicitly disabled or one of the other supported compression methods is explicitly specified.",,Test 4,4
2,Scaling a warehouse UP will decrease the number of clusters. (e.g. Small to Medium),FALSE,TRUE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html#setting-the-scaling-policy-for-a-multi-cluster-warehouse,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html#setting-the-scaling-policy-for-a-multi-cluster-warehouse,Test 4,4
3,Default Size of the warehouse created using CREATE WAREHOUSE command is,X-LARGE,SMALL,MEDIUM,X-SMALL,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
4,Scaling up is a manual process. (e.g. Small to Medium),TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html#setting-the-scaling-policy-for-a-multi-cluster-warehouse,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html#setting-the-scaling-policy-for-a-multi-cluster-warehouse,Test 4,4
5,Warehouses can be started and stopped at any time,TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
6,"Warehouses can also be resized at any time, even while running, to accommodate the need for more or less compute resources",TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
7,"Which scaling policy, starts additional cluster immediately when either a query is queued or the system detects that there is one more query than the currently-running clusters can execute.",Economy,Standard,Legacy,None,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
8,A Snowflake session can have multiple current warehouse at a time,TRUE,FALSE,,,,,2,A Snowflake session can have only one current warehouse at a time. The current warehouse for a session can be specified or changed at any time through the USE WAREHOUSE command.,,Test 4,4
9,"Which scaling policy, prevents/minimizes queuing by favoring starting additional clusters over conserving credits?",Standard,None,Legacy,Economy,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
10,Which of the following are options when creating a Virtual Warehouse?,Auto Resume,Auto Suspend,Storage Size,Cache Size,,,"1, 2",Refer Link-https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,Test 4,4
11,A warehouse was started and it was up and running for 62 seconds. For how many seconds will the warehouse be billed for?,60 seconds,62 seconds,120 seconds,70 seconds,,,2,Snowflake utilizes per-second billing (with a 60-second minimum each time the warehouse starts) Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
12,A warehouse was started and it was up and running for 40 seconds. For how many seconds will the warehouse be billed for?,No charge would be applied as it was up for less than 1 minute,40 seconds,60 seconds,,,,3,Snowflake utilizes per-second billing (with a 60-second minimum each time the warehouse starts) Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
13,Which type of stage can store files that are staged and managed by one or more users and loaded into one or more tables,User,Table,Named,,,,3,"A named internal stage is a database object created in a schema. This stage type can store files that are staged and managed by one or more users and loaded into one or more tables. Because named stages are database objects, the ability to create, modify, use, or drop them can be controlled using security access control privileges. Create stages using the CREATE STAGE command.",,Test 4,4
14,Replication operations use Snowflake-provided compute resources to copy data between accounts across regions.,FALSE,TRUE,,,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/database-replication-billing.html,https://docs.snowflake.com/en/user-guide/database-replication-billing.html,Test 4,4
15,Copy options set in multiple locations are cumulative. Individual options set in one place override the same option set lower in the order of precedence.,FALSE,TRUE,,,,,2,Refer Notes at link –https://docs.snowflake.com/en/user-guide/data-load-prepare.html,https://docs.snowflake.com/en/user-guide/data-load-prepare.html,Test 4,4
16,The scaling policy for a multi-cluster warehouse only applies (make sense) if it is running in Auto-scale mode and not in Maximized Mode,TRUE,FALSE,,,,,1,"The scaling policy for a multi-cluster warehouse only applies if it is running in Auto-scale mode. In Maximized mode, all clusters run concurrently so there is no need to start or shut down individual clusters. Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html",https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
17,"When database replication is setup, then querying tables and views in a secondary database using Time Travel will always produce exact same results as that of when executing the same query in the primary database.",FALSE,TRUE,,,,,1,"Querying tables and views in a secondary database using Time Travel can produce different results than when executing the same query in the primary database. Historical Data Historical data available to query in a primary database using Time Travel is not replicated to secondary databases. For example, suppose data is loaded continuously into a table every 10 minutes using Snowpipe, and a secondary database is refreshed every hour. The refresh operation only replicates the latest version of the table. While every hourly version of the table within the retention window is available for query using Time Travel, none of the iterative versions within each hour (the individual Snowpipe loads) are available. Data Retention Period The data retention period for tables in a secondary database begins when the secondary database is refreshed with the DML operations (i.e. changing or deleting data) written to tables in the primary database.",,Test 4,4
18,"Resource monitors provide control over virtual warehouse credit usage; however, you cannot use them to control credit usage for the Snowflake-provided warehouses, including the SNOWPIPE warehouse",FALSE,TRUE,,,,,2,Refer link –https://docs.snowflake.com/en/user-guide/data-load-snowpipe-billing.html,https://docs.snowflake.com/en/user-guide/data-load-snowpipe-billing.html,Test 4,4
19,Which of the following stages cannot be altered or dropped?,User,Table,Named External Stage,Named Internal Stage,,,"1, 2",A user stage is allocated to each user for storing files. This stage type is designed to store files that are staged and managed by a single user but can be loaded into multiple tables. User stages cannot be altered or dropped. A table stage is available for each table created in Snowflake. This stage type is designed to store files that are staged and managed by one or more users but only loaded into a single table. Table stages cannot be altered or dropped. Refer Link –https://docs.snowflake.com/en/user-guide/data-load-overview.html. Refer Section “Internal Stages“,https://docs.snowflake.com/en/user-guide/data-load-overview.html,Test 4,4
20,"Which Snowflake object records DML changes made to tables, including inserts, updates, deletes as well as metadata about each change, so that actions can be taken using the changed data",Snowpipe,Stream,Task,Kafka,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/streams.html,https://docs.snowflake.com/en/user-guide/streams.html,Test 4,4
21,"Account parameters are also replicated, when a databse replication is setup",TRUE,FALSE,,,,,2,Account parameters are not replicated.,,Test 4,4
22,"Which is the default encoding considered in COPY command while loading delimited files like CSV, TSV?",UCS-2,ANSI,UTF-16,UTF-8,,,4,"For delimited files (CSV, TSV, etc.), the default character set is UTF-8. To use any other characters sets, you must explicitly specify the encoding to use for loading. For the list of supported character sets, see link –https://docs.snowflake.com/en/user-guide/intro-summary-loading.html",https://docs.snowflake.com/en/user-guide/intro-summary-loading.html,Test 4,4
23,"Snowflake maintains detailed metadata for each table into which data is loaded, including:",Etag for the file,Name of each file from which data was loaded,Number of Columns,Column Names,Number of rows parsed in the file,File Size,"1, 2, 5, 6",Refer Link –https://docs.snowflake.com/en/user-guide/data-load-considerations-load.html,https://docs.snowflake.com/en/user-guide/data-load-considerations-load.html,Test 4,4
24,"When a copy command cannot definitively determine whether a file has been loaded already, then what is the default behaviour?",The file load is skipped,"Error message is generated, that load metadata for the file for given table doesnât exists",The file is loaded,,,,1,"When the COPY command cannot definitively determine whether a file has been loaded already if the LAST_MODIFIED date is older than 64 days and the initial set of data was loaded into the table more than 64 days earlier (and if the file was loaded into the table, that also occurred more than 64 days earlier). In this case, to prevent accidental reload, the command skips the file by default. Refer link –https://docs.snowflake.com/en/user-guide/data-load-considerations-load.html",https://docs.snowflake.com/en/user-guide/data-load-considerations-load.html,Test 4,4
25,Which of the following tables cannot be cloned as permanent table?,Temporary Tables,Transient Tables,Permanent Tables,,,,"1, 2",Refer Link for details –https://docs.snowflake.com/en/user-guide/tables-temp-transient.htmlRefer the section  Comparison of Table Types in the above link.,https://docs.snowflake.com/en/user-guide/tables-temp-transient.html,Test 4,4
26,"A stream allows querying and consuming a set of changes to a table, at the row level, between two transactional points of time",TRUE,FALSE,,,,,1,"A stream object records the delta of change data capture (CDC) information for a table (such as a staging table), including inserts and other data manipulation language (DML) changes. A stream allows querying and consuming a set of changes to a table, at the row level, between two transactional points of time.",,Test 4,4
27,"If the TIMESTAMP, OFFSET, or STATEMENT specified in the AT | BEFORE clause falls outside the data retention period for the table, the query fails and returns an error.",TRUE,FALSE,,,,,1,Refer link –https://docs.snowflake.com/en/user-guide/data-time-travel.html,https://docs.snowflake.com/en/user-guide/data-time-travel.html,Test 4,4
28,"Which type of table stream tracks all DML changes to the source table including inserts, updates, deletes and also truncate?",Insert-Only,Multifunction,Standard,Native,Append-Only,,3,"A standard (i.e. delta) table stream tracks all DML changes to the source table, including inserts, updates, and deletes (including table truncates). This stream type performs a join on inserted and deleted rows in the change set to provide the row level delta. As a net effect, for example, a row that is inserted and then deleted between two transactional points of time in a table is removed in the delta (i.e. is not returned when the stream is queried).",,Test 4,4
29,Which of the following roles can use SQL to view the task history within a specified date range,Accountadmin,Task owner (i.e. role that has the OWNERSHIP privilege on a task),Public,Any role that has the global MONITOR EXECUTION privilege,Any role can view,,"1, 2, 4",Refer Link –https://docs.snowflake.com/en/user-guide/tasks-intro.html,https://docs.snowflake.com/en/user-guide/tasks-intro.html,Test 4,4
30,Tasks cannot be chained together for successive execution to support more complex periodic processing,TRUE,FALSE,,,,,2,"A task object defines a recurring schedule for executing a SQL statement, including statements that call stored procedures. Tasks can be chained together for successive execution to support more complex periodic processing.",,Test 4,4
31,"When the warehouse is resized (scaled up or out), then the additional servers that get added will be available for use by any queries that are queued or newly submitted",TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
32,The Snowflake credit usage for multi cluster virtual warehouses is based on,For multi cluster credits are always charged based on the maximum cluster size that is defined,Total Number of clusters running and for the time period they are running,For multi cluster credits are always charged based on the average cluster size that is defined,,,,2,Snowflake only charges for the exact amount of compute being used and for the time period it is being used,,Test 4,4
33,In the Snowflake Web UI which of the following is true?,"Each open worksheet can have different role, warehouse and database selected",For all open worksheet the session is same,"For all open worksheets same role, warehouse and database apply",Each open worksheet is a different session,,,"1, 4","Each worksheet in Snowflake Web UI is an independent session. Therefore, each worksheet can have its combination of Database, Schema, Virtual Warehouse & Role selected",,Test 4,4
34,The “load metadata“ (which maintains which files have already been loaded) for a table expires after how many days?,64,7,14,365,,,1,The load metadata expires after 64 days. Please see the link –https://docs.snowflake.net/manuals/user-guide/data-load-considerations-load.html#load-metadata,https://docs.snowflake.net/manuals/user-guide/data-load-considerations-load.html#load-metadata,Test 4,4
35,Storage fees are incurred for maintaining historical data during the Time Travel but not during Fail-safe periods as Fail safe is managed by Snowflake,FALSE,TRUE,,,,,1,Storage cost is for both Time Travel & Fail Safe. Refer Link –https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs.html,https://docs.snowflake.com/en/user-guide/data-cdp-storage-costs.html,Test 4,4
36,"When data is shared between Snowflake accounts, a database is created on the consumer side for sharing purposes. The type of this database is ?",Read & Update Only,Read Only,Read & Insert Only,Read & Delete Only,,,2,The correct answer is read-only. The consumer creates a database from the share and the database is created as read-only,,Test 4,4
37,Which of the following are valid parameters when create a new virtual warehouse?,RAM Size,Auto Suspend,Auto Resume,Warehouse Size,Type of EC2,CPU Counts,"2, 3, 4",Please see the link for detailed syntax on virtual warehouse creationhttps://docs.snowflake.net/manuals/sql-reference/sql/create-warehouse.html,https://docs.snowflake.net/manuals/sql-reference/sql/create-warehouse.html,Test 4,4
38,What are some general indicators that a clustering key is required on a table?,The table is being used in many queries,The size of the table is in multi terabytes,The query performance using that table has slowed down over a period of time,The table has many columns,,,"2, 3",Clustering keys are defined on large table to improve performance.,,Test 4,4
39,Virtual Warehouse credits are charged on what basis?,per second use (with minimum charge of 1 minute),per hour use,per milli second use,per minute use,per second use with no minimum charge,,1,Snowflake credits are billed on per second basis of virtual warehouse use. Its important to note thought that when a virtual warehouse is started it will consume minimum 1 minute of snowflake credits and will change to per second billing after that,,Test 4,4
40,Choose the answer which true about key rotation in snowflake,Only table master key is rotated by Snowflake,Account & Table master keys are automatically rotated by Snowflake when they are more than 30 days old,Only account master key is rotated by snowflake,"Key rotation is an expensive operation, hence its done only on need basis",,,2,Refer Link -https://docs.snowflake.com/en/user-guide/security-encryption.html#encryption-key-rotation,,Test 4,4
41,What happens when a suspended warehouse is resized (e.g. resized from small to medium)?,"When size of a suspended warehouse is increased it starts the warehouse, and then suspends it back after provisioning additional servers",Additional Servers are added to the warehouse immediately even in suspended state,A suspended warehouse cannot be resized,Additional servers are provisioned only when the warehouse is next resumed,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,Test 4,4
42,Snowflake utilizes per-second billing (with a 60-second minimum each time the warehouse starts),TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
43,Multi-cluster warehouses are beneficial for improving the performance of slow-running queries or data loading,TRUE,FALSE,,,,,2,"Multi-cluster warehouses are best utilized for scaling resources to improve concurrency for users/queries. They are not as beneficial for improving the performance of slow-running queries or data loading. For these types of operations, resizing the warehouse provides more benefits.",,Test 4,4
44,"In auto scale mode, if new_max_clusters < running clusters, then excess clusters shut down immediately",TRUE,FALSE,,,,,2,"If new_max_clusters < running_clusters, excess clusters shut down when they finish executing statements and the scaling policy conditions are met. Refer Link -https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html",https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
45,What all resources are provided by Virtual Warehouse?,Metadata Storage,CPU,Temporary Storage,Permanent Storage,Memory,,"2, 3, 5",Refer Link –https://docs.snowflake.com/en/user-guide/warehouses.html,https://docs.snowflake.com/en/user-guide/warehouses.html,Test 4,4
46,When a virtual warehouse is provisioned there is no benefit in stopping the virtual warehouse with in the first 60 seconds because that time period has already been billed.,TRUE,FALSE,,,,,1,Compute is charged per second with minimum charge for 1 minute,,Test 4,4
47,"Which scaling policy, starts additional cluster only if the system estimates there is enough query load to keep the cluster busy for at least 6 minutes.",Legacy,None,Standard,Economy,,,4,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
48,Multi-cluster warehouses are best utilized for scaling resources to improve concurrency for users/queries,TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
49,Scaling up of a warehouse can be done only in Enterprise edition and higher,FALSE,TRUE,,,,,1,"Scaling up (increasing size of warehouse) can be done in all editions of snowflake, however Scaling out (increasing number of clusters) can be done only in Enterprise edition and higher",,Test 4,4
50,"In maximized mode, what happens if the number of clusers are decreased? (e.g. previously min & max was 4, but now min & max cluster size is changed to 2)",The number of clusters in maximized mode cannot be changed,Specified number of clusters shut down when they finish executing statements and the auto-suspend period elapses,"Specified number of clusters shut down immediately, as soon as they finish executing statements",,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
51,Which of the following terms are associated with the Compute/Warehouse Layer?,Query Processing,Query Planning,Query Optimization,Query Compilation,Query Design,,1,"Only query processing happens in the compute/warehouse layer, rest all options (except query design) that are given are performed in the services layer. Query design is performed by the user executing the query",,Test 4,4
52,Which of the following are true of Multi-Cluster warehouses? Select all that apply.,Scales In when query activity slows,Adds clusters automatically based on query activity,Sizes each cluster optimally based on the queries,Multi-cluster warehouses will never auto-suspend,,,"1, 2",Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
53,"A warehouse can be started at any time, excluding the initial creation time",FALSE,TRUE,,,,,1,"A warehouse can be started at any time, including on initial creation. Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-tasks.html",https://docs.snowflake.com/en/user-guide/warehouses-tasks.html,Test 4,4
54,"Which scaling policy, conserves credits by favoring keeping running clusters fully-loaded rather than starting additional clusters, which may result in queries being queued and taking longer to complete?",Economy,None,Standard,Legacy,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
55,"In auto scale mode, if new_min_clusters > running clusters, then additional clusters immediately started to meet the minimum.",TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
56,Multi-cluster warehouses is only available in Enterprise Edition and above,FALSE,TRUE,,,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-overview.html,https://docs.snowflake.com/en/user-guide/warehouses-overview.html,Test 4,4
57,How many credits will be consumed if a Medium-size warehouse (4 servers per cluster) with 3 clusters runs in Maximized mode for 2 hours,18,36,24,12,,,3,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
58,"In a multi cluster warehouse, for each cluster there is a way we can specify different warehouse sizes",TRUE,FALSE,,,,,2,"In a multi cluster warehouse, all clusters will have one size only. Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html",https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
59,"In maximized mode, what happens if the number of clusers are increased? (e.g. previously min & max was 2, but now min & max cluster size is changed to 4)","There will not be any immediate impact, and the additional clusters will start only when the query workload demands",Specified number of clusters (in this case 4) would start immediately,Specified number of clusters would start after current queries that are executed are completed,The number of clusters in maximized mode cannot be changed,,,2,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
60,In maximized multi-cluster warehouse same value is specified for both maximum & minimum clusters (except for the value 1),TRUE,FALSE,,,,,1,Refer Link –https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,https://docs.snowflake.com/en/user-guide/warehouses-multicluster.html,Test 4,4
1,What all objects can be shared?,Table,Standard View,Secure UDF,Secure View,,,"1, 3, 4","Data Share is meant for Secures access and so, Standard View is not allowed to be shared.",,Test 5,5
2,How can you ignore metadata and load the already loaded staged file into table?,Using LOAD = TRUE parameter with COPY INTO command,Using FORCE = YES parameter with COPY INTO command,Using FORCE = TRUE parameter with COPY INTO command,Using LOAD = FORCE parameter with COPY INTO command,Using INSERT = TRUE parameter with COPY INTO command,Using ACCEPT = TRUE parameter with COPY INTO command,3,"FORCE = TRUE parameter specifies to load all files, regardless of whether theyve been loaded previously and have not changed since they were loaded. Note that this option reloads files, potentially duplicating data in a table.",,Test 5,5
3,Which approach would result in improved performance through linear scaling of data ingestion workload?,Resize virtual warehouse,Consider the practice of splitting input file batch within the recommended range of 10MB to 100MB,All of the above,Consider the practice of organizing data by granular path,,,3,"Resize or Scaling up the virtual warehouse improves the performance. It is better that you organize data by granular path, it will help Snowflake find the file easily without wasting it‘s resources on identify the data files. As per best practice, the size of data file should be in the range of 10 MB to 110 MB. Each server can process 8 files in parallel so, breaking a file into small files is the good practice.",,Test 5,5
4,Monica has a EMPLOYEE_DATA table. Monica wants to create another table EMPLOYEE_DATA_OTHER which should be same as EMPLOYEE_DATA table with same data. What is the best option for Monica?,CREATE SHARE EMPLOYEE_DATA;,Clone the table with same data with SQL command as follows - CREATE TABLE EMPLOYEE_DATA_OTHER CLONE EMPLOYEE_DATA;,Create the table with LIKE SQL command as follows - CREATE TABLE EMPLOYEE_DATA_OTHER LIKE EMPLOYEE_DATA;,Create the table with same data with SQL command as follows - CREATE TABLE EMPLOYEE_DATA_OTHER AS SELECT * FROM EMPLOYEE_DATA;,,,2,The best option is the Clone the table as EMPLOYEE_DATA and EMPLOYEE_DATA_OTHER has same structure and same data. It will help save the storage cost. LIKE command only creates empty table.,,Test 5,5
5,Which cache stores object definitions and statistics?,Results Cache,Metadata Cache,Warehouse Cache,,,,2,Metadata Management has following major functions: – Stores metadata as data is loaded into the system – Handles queries that can be processes completely from metadata -Used for Time Travel and Cloning -Every aspect of Snowflake architecture leverages met,,Test 5,5
6,How to change the current warehouse of a session?,None of these,Execute SET WAREHOUSE command,Execute SELECT WAREHOUSE command,Execute USE WAREHOUSE command,,,4,"USE WAREHOUSE; command sets the warehouse for the current session, whereis the name of the warehouse which needs to be set for the session.",,Test 5,5
